empId,employeeName,type,status,location,territory,grade,account,sections,seating,projectManager,reportingManager,changedBy,profileTitle,designation,category
5327,James Runte,FullTime,Active,North Budhaven,Kentucky,L1.6,Account9,Section10,Seat8,Verna Pouros,Megan Schulist-Veum,Admin,Senior Mobility Agent,Strategist,Quality Assurance
5252,Emanuel Bayer,FullTime,Active,Joaniebury,Ohio,L1.4,Account6,Section6,Seat89,Renee Goldner,Laurence Hane,Admin,Senior Security Developer,Agent,Management
1861,Wayne Kautzer,PartTime,Active,New Kenton,Kansas,L1.6,Account8,Section5,Seat2,Gail Kozey,Fred McClure,Admin,Future Optimization Agent,Administrator,Operations
1152,Arnold Glover DDS,FullTime,Inactive,Severn,Virginia,L1.6,Account10,Section6,Seat82,Maria Bailey,Mary Hagenes,Admin,Internal Implementation Officer,Associate,Engineering
3866,Ernestine Hoeger,PartTime,Active,East Kristin,Nevada,L1.6,Account5,Section1,Seat91,Allen Corkery,Dora Morar Jr.,Admin,Future Group Technician,Administrator,Management
9060,Alex Little,FullTime,Active,Stromanboro,South Carolina,L1.1,Account7,Section4,Seat80,Essie West,Willie Bashirian,Admin,Global Paradigm Analyst,Associate,Engineering
7574,Pamela Ortiz,PartTime,Inactive,West Jacklyn,New York,L1.5,Account5,Section8,Seat26,Lauren Keebler,Spencer Hackett,Admin,Corporate Brand Associate,Specialist,Engineering
7171,Kim Schamberger,PartTime,Active,Gottliebburgh,Oklahoma,L1.2,Account7,Section2,Seat18,Terry Schumm,Lydia Ebert,Admin,International Interactions Specialist,Liaison,Management
9955,Jack Mante,PartTime,Active,East Catherinemouth,West Virginia,L1.1,Account5,Section7,Seat61,Nick Towne,Freda Schmidt II,Admin,District Solutions Administrator,Orchestrator,Operations
6241,Greg Littel,PartTime,Inactive,Coral Springs,Massachusetts,L1.3,Account7,Section8,Seat6,Ron Lang,Duane Casper,Admin,Dynamic Operations Assistant,Officer,Operations
3748,Warren Vandervort,Contract,Inactive,Milwaukee,Massachusetts,L1.3,Account6,Section4,Seat31,Mitchell Schmitt,Jessie Kemmer,Admin,Principal Infrastructure Manager,Assistant,Operations
3287,Vicky Hegmann,FullTime,Inactive,North Cathrynview,Utah,L1.1,Account2,Section4,Seat34,Roland Smith,Phil Baumbach,Admin,International Brand Agent,Engineer,Engineering
4908,Justin Kshlerin-Tremblay,Contract,Inactive,South Assunta,Virginia,L1.5,Account7,Section5,Seat56,Ian Kulas,April Yost,Admin,District Security Specialist,Designer,Engineering
3983,Natalie King,Contract,Active,Hesterland,North Dakota,L1.2,Account8,Section4,Seat95,Myra Hettinger,Wendy Lang PhD,Admin,Future Creative Producer,Coordinator,Engineering
7928,Erick Gusikowski,PartTime,Active,Kenyonworth,Alabama,L1.2,Account5,Section1,Seat26,Bobby Runte,Tanya Kessler,Admin,National Communications Specialist,Administrator,Product
9348,Marilyn Stehr,Contract,Active,Yosttown,Alaska,L1.5,Account2,Section4,Seat76,Jim Towne,Traci Becker,Admin,Corporate Accountability Coordinator,Technician,Product
6821,Stewart Nikolaus,Contract,Inactive,Marietta,Mississippi,L1.1,Account3,Section6,Seat12,Johnnie Ernser,Erika Auer Jr.,Admin,Internal Paradigm Engineer,Representative,Operations
4799,Camille Marquardt,Contract,Inactive,Suffolk,West Virginia,L1.1,Account1,Section8,Seat71,Ora Stark,Glen Rempel,Admin,International Configuration Executive,Facilitator,Quality Assurance
9392,Abel Fay,Contract,Active,Kansas City,Mississippi,L1.3,Account3,Section10,Seat29,Shannon Schaden,Joe Hilll,Admin,Dynamic Intranet Associate,Designer,Quality Assurance
4853,Mr. Ernest Greenholt MD,FullTime,Inactive,Port Belleview,California,L1.3,Account6,Section3,Seat38,Shelley Gerlach,Linda Pacocha,Admin,Customer Quality Manager,Administrator,Product
7561,Oliver Aufderhar-Schinner,FullTime,Active,Fort Kaylaside,Delaware,L1.4,Account6,Section3,Seat23,Darrell Hauck,Freddie Huel,Admin,Investor Marketing Administrator,Designer,Operations
1857,William Mosciski,PartTime,Active,Stillwater,Minnesota,L1.3,Account6,Section4,Seat93,Olive Jerde,Lester Harris,Admin,Forward Integration Manager,Engineer,Product
3730,Ted Brown,PartTime,Active,Alameda,Nebraska,L1.5,Account2,Section9,Seat46,Faye Wilderman,Stewart Cormier,Admin,Internal Program Facilitator,Consultant,Product
2299,Maurice Crona,PartTime,Active,Margaritaside,Alabama,L1.6,Account6,Section5,Seat42,Ted Smith,Cassandra Kozey,Admin,Human Markets Associate,Coordinator,Management
6605,Jeannie Weber,FullTime,Inactive,Langton,Minnesota,L1.1,Account8,Section10,Seat46,Devin Barrows,Doris Hammes,Admin,National Division Administrator,Orchestrator,Engineering
6789,Rachael Braun,Contract,Active,Danaside,Arkansas,L1.4,Account1,Section4,Seat40,Sheila Goodwin,Lynda Mohr,Admin,Central Configuration Coordinator,Assistant,Management
4035,Dr. Amos Gottlieb,PartTime,Active,Port Wilfredo,Washington,L1.2,Account8,Section5,Seat12,Jimmy Dickens,Mandy Jaskolski,Admin,Chief Tactics Technician,Executive,Management
2472,Orville Kihn,Contract,Inactive,South Dashawnhaven,Mississippi,L1.4,Account8,Section7,Seat69,Marc Bins III,Virginia Corwin DDS,Admin,Global Interactions Architect,Technician,Quality Assurance
3005,Shaun Schuppe DVM,FullTime,Active,West Travisborough,West Virginia,L1.3,Account1,Section5,Seat67,Emma Rath,Joseph Larkin,Admin,Regional Accountability Agent,Representative,Management
8455,Ira Becker,PartTime,Active,Jazminton,Virginia,L1.5,Account10,Section3,Seat42,Dr. Chris Feest,Julius Hudson,Admin,Regional Security Technician,Producer,Engineering
3485,Cary Hessel,Contract,Inactive,Ornton,Arizona,L1.2,Account6,Section6,Seat42,Jonathan Leuschke,Rhonda Deckow,Admin,Senior Web Developer,Technician,Engineering
3209,Ramiro Wisoky,PartTime,Inactive,Alethastad,Maine,L1.4,Account8,Section5,Seat62,Sheryl Leannon,Rosemary Waelchi,Admin,Senior Assurance Architect,Technician,Product
3153,Louis Boyer,FullTime,Active,Reubenfurt,Nevada,L1.1,Account4,Section3,Seat48,Carmen Dickinson,Guillermo Kohler,Admin,Dynamic Identity Assistant,Developer,Quality Assurance
6220,Hope Nader I,Contract,Inactive,Fountain Valley,Montana,L1.4,Account9,Section7,Seat95,Karen Cartwright-Schroeder II,Irving Oberbrunner,Admin,Dynamic Directives Coordinator,Associate,Management
8586,Mrs. Miranda Feeney,PartTime,Active,Lake Samsonside,Wyoming,L1.3,Account4,Section9,Seat6,Mr. Kent Wiza,Candice Corwin,Admin,Product Interactions Associate,Orchestrator,Operations
1770,Earnest Hayes,FullTime,Inactive,Roseville,Colorado,L1.5,Account2,Section2,Seat37,Glen Rosenbaum MD,Alton Jakubowski II,Admin,Internal Intranet Planner,Architect,Engineering
4965,Gladys Hamill,FullTime,Active,New Sabrynaborough,North Dakota,L1.5,Account8,Section8,Seat99,Micheal Upton,Sandra Morar,Admin,Central Web Designer,Designer,Engineering
5948,Ora Bauch,PartTime,Inactive,New Dominicfurt,Florida,L1.2,Account7,Section6,Seat67,Opal Roob,Yvette Heller,Admin,Corporate Response Administrator,Analyst,Management
4384,Rafael Swaniawski,FullTime,Inactive,Starkmouth,Minnesota,L1.3,Account8,Section6,Seat100,Greg Bogisich,Horace Conroy,Admin,Global Optimization Facilitator,Officer,Quality Assurance
1253,Jason Casper I,FullTime,Inactive,Padbergfurt,Delaware,L1.2,Account10,Section6,Seat15,Martha Corwin,Randolph Schultz,Admin,Principal Metrics Director,Liaison,Operations
9318,Muriel Grimes,Contract,Active,Sarasota,New Mexico,L1.1,Account7,Section9,Seat53,Tamara Bogan,Lois Waelchi,Admin,Forward Division Specialist,Officer,Engineering
4411,Armando Baumbach,Contract,Active,Stillwater,Nebraska,L1.3,Account8,Section4,Seat19,Myron Legros,Alfredo Ortiz,Admin,Future Accountability Supervisor,Liaison,Quality Assurance
6439,Ellis Kiehn,FullTime,Inactive,Hansencester,Nevada,L1.5,Account5,Section4,Seat38,Bobbie Stiedemann,Kelli Ernser,Admin,Product Functionality Representative,Liaison,Product
4142,Della Hoppe,FullTime,Active,Hilllchester,Louisiana,L1.5,Account3,Section7,Seat5,Charlene Mertz,Rafael Brakus,Admin,Legacy Implementation Associate,Assistant,Operations
3464,Floyd Walsh,PartTime,Active,New Randistad,Arkansas,L1.1,Account6,Section6,Seat70,Maxine Mayert,Traci O'Keefe,Admin,National Interactions Producer,Developer,Product
8685,Dr. Byron Carroll-Fadel,Contract,Inactive,Serenitystead,Wyoming,L1.1,Account10,Section4,Seat28,Ms. Jackie Wehner,Steven Mosciski,Admin,Future Infrastructure Supervisor,Specialist,Product
1457,Janis Mraz,Contract,Inactive,O'Reillyfield,South Dakota,L1.2,Account10,Section3,Seat96,Ms. Emily Yost,Dwight Hermann,Admin,Forward Brand Agent,Representative,Quality Assurance
5228,Doyle Miller,Contract,Inactive,North Carley,Hawaii,L1.2,Account5,Section2,Seat44,Hugh Mitchell,Mrs. Christine Stamm,Admin,Chief Optimization Producer,Associate,Operations
3462,Mr. Orville McGlynn,PartTime,Active,New Bedford,Maine,L1.6,Account5,Section2,Seat19,Miss Miriam Nicolas,Dr. Dewey Sporer,Admin,Central Assurance Executive,Administrator,Operations
6187,Mrs. Nora Feest,PartTime,Inactive,Londontown,Ohio,L1.6,Account6,Section7,Seat12,Tanya Littel,Alfredo Abbott,Admin,Product Creative Liaison,Developer,Quality Assurance
3287,Earl Schultz,Contract,Active,Minnetonka,South Carolina,L1.6,Account6,Section3,Seat73,Kari Bins-Funk,Felicia Wuckert,Admin,Central Creative Agent,Executive,Engineering
1962,Dana Vandervort,FullTime,Inactive,East Zellafort,Rhode Island,L1.2,Account9,Section6,Seat49,Gail Bailey PhD,Alvin Blanda,Admin,Forward Metrics Facilitator,Facilitator,Management
6667,Conrad Waters,PartTime,Inactive,Cynthiaberg,Tennessee,L1.3,Account2,Section1,Seat56,Mabel Nolan,Dr. Penny Jacobs-Skiles,Admin,Dynamic Data Consultant,Consultant,Management
3062,Edith Stokes,PartTime,Active,Wardport,New York,L1.2,Account9,Section4,Seat34,Horace Stroman V,Helen Sanford,Admin,Product Interactions Coordinator,Representative,Operations
4382,Luz Mueller,Contract,Active,South Noemieport,South Dakota,L1.1,Account9,Section2,Seat13,Leigh Kutch MD,Mrs. Traci Goyette,Admin,Dynamic Intranet Producer,Executive,Quality Assurance
8581,Dr. Malcolm Prohaska,FullTime,Active,Clearwater,New Hampshire,L1.2,Account7,Section5,Seat51,Ms. Becky Thompson,Mrs. Cristina Dickinson,Admin,Product Response Developer,Facilitator,Operations
3455,Chester Lubowitz,PartTime,Inactive,Lake Newell,Arizona,L1.5,Account6,Section1,Seat90,Justin Auer,Roberta O'Hara,Admin,Customer Configuration Consultant,Representative,Engineering
3156,Rafael Wilkinson,Contract,Inactive,Fort Cristianworth,Alaska,L1.6,Account1,Section4,Seat25,Marilyn Erdman,Jeannie Barton-Ullrich,Admin,Corporate Operations Representative,Supervisor,Operations
2601,Dr. Cheryl Kshlerin,FullTime,Active,Lake Sterling,California,L1.2,Account9,Section10,Seat96,Becky Hilll,Pedro Nikolaus-Grant,Admin,Corporate Metrics Specialist,Associate,Engineering
5034,Sadie Wehner,Contract,Inactive,Lake Amira,New York,L1.1,Account3,Section9,Seat95,Melody Walker,Guadalupe Hoppe,Admin,Human Factors Technician,Associate,Product
7793,Ira Mosciski,FullTime,Inactive,Justusfield,Utah,L1.5,Account8,Section10,Seat65,Thomas Kuvalis,Lynn Watsica,Admin,National Configuration Consultant,Representative,Engineering
5811,Jenna Murray,Contract,Active,Merlinworth,Colorado,L1.5,Account4,Section10,Seat21,Alexander Moen-Stokes,Tracy Vandervort,Admin,Internal Marketing Officer,Supervisor,Quality Assurance
6088,Arthur Reichert,Contract,Inactive,Murphyhaven,Alabama,L1.1,Account1,Section8,Seat10,Felipe Buckridge,Dr. Dexter Spencer,Admin,Future Brand Liaison,Assistant,Product
5079,Sophie Schultz,PartTime,Active,East Benjamin,Idaho,L1.4,Account5,Section2,Seat75,Sherri Gislason,Valerie Schuppe,Admin,Lead Group Manager,Planner,Product
8501,Ronald Heller,PartTime,Active,Lake Alycia,Florida,L1.6,Account5,Section4,Seat69,Milton Brakus,Albert Streich,Admin,Investor Intranet Architect,Strategist,Management
2259,Mathew Effertz PhD,FullTime,Active,Fort Laurie,New Mexico,L1.4,Account2,Section8,Seat90,Jackie Hills,Stacey McKenzie,Admin,Global Data Officer,Producer,Engineering
9941,Candace Botsford,FullTime,Active,Jewelfort,South Carolina,L1.3,Account9,Section10,Seat60,Stephen Wisozk V,Victoria Weimann,Admin,Central Infrastructure Analyst,Strategist,Engineering
5560,Santos Fisher,FullTime,Inactive,Clayland,Vermont,L1.4,Account3,Section2,Seat66,Stuart Dooley,Bernard Bernhard,Admin,Corporate Accountability Manager,Producer,Quality Assurance
4959,Frances Kemmer,Contract,Inactive,Frederiqueland,Maryland,L1.6,Account7,Section8,Seat88,Mildred Wiza,Christy McKenzie,Admin,Human Configuration Analyst,Facilitator,Quality Assurance
3185,Miranda Collier-Mante,PartTime,Inactive,Fort Javiermouth,Delaware,L1.2,Account7,Section1,Seat26,Gloria Hills,Jean Gulgowski,Admin,Direct Usability Supervisor,Specialist,Engineering
4080,Brendan Witting IV,PartTime,Active,Jonathanstad,Virginia,L1.4,Account4,Section3,Seat33,Alex Okuneva-Hamill II,Jonathan Luettgen,Admin,Customer Group Consultant,Orchestrator,Management
5252,Mrs. Janie O'Keefe,PartTime,Inactive,South Dannytown,New York,L1.3,Account1,Section7,Seat1,Karen Bauch,Mr. Allen Bruen,Admin,Global Web Manager,Planner,Quality Assurance
2671,Christian Treutel,FullTime,Active,Burleyfurt,Indiana,L1.1,Account8,Section8,Seat46,Phil Marks,Wilson Gutkowski,Admin,District Paradigm Developer,Developer,Quality Assurance
5670,Dr. Roman Simonis,PartTime,Active,Cedar Hill,Maine,L1.1,Account10,Section2,Seat33,Brian Klein,Deborah Bauch,Admin,Direct Paradigm Associate,Manager,Management
5162,Dave Gerhold,Contract,Inactive,South Josefina,New Hampshire,L1.1,Account10,Section7,Seat34,Melinda Hermann,Arturo Schiller,Admin,Human Directives Associate,Architect,Management
9940,Dr. Wallace Waelchi Sr.,PartTime,Active,Lake Jamaalton,Vermont,L1.1,Account2,Section1,Seat84,Judy Farrell,Miss Charlene Schamberger,Admin,International Response Architect,Liaison,Quality Assurance
1469,Lauren Williamson,Contract,Active,Fort Lou,Delaware,L1.2,Account6,Section4,Seat64,Dr. Ian Klein,Chester Runte,Admin,Regional Intranet Consultant,Representative,Engineering
2833,Jaime Weber,Contract,Inactive,Harveystead,North Dakota,L1.3,Account3,Section9,Seat78,Miss Jeanette Hudson,Whitney Aufderhar,Admin,Global Usability Orchestrator,Executive,Quality Assurance
7550,Marlene Beahan-Murazik,PartTime,Active,Kadinborough,Virginia,L1.5,Account9,Section4,Seat48,Warren DuBuque-Farrell MD,Jana Collins,Admin,Investor Interactions Technician,Orchestrator,Product
5487,Victoria O'Connell,Contract,Active,Montystead,New Jersey,L1.4,Account10,Section8,Seat72,Darrel Sanford,Dr. Vernon Zulauf,Admin,Direct Solutions Planner,Coordinator,Operations
7902,Warren Boyer,PartTime,Inactive,West Evans,South Dakota,L1.4,Account8,Section3,Seat90,Dr. Pat Altenwerth,Terry Crona,Admin,Human Markets Architect,Strategist,Product
4694,Tonya Dooley,Contract,Inactive,South Dellaboro,West Virginia,L1.6,Account6,Section9,Seat10,Alexis Roob,Randolph Parker,Admin,Legacy Metrics Manager,Orchestrator,Quality Assurance
1959,Daryl Lockman-Roob,FullTime,Inactive,Strosinland,Vermont,L1.5,Account6,Section7,Seat73,Florence Mitchell,Bryan Franey,Admin,Regional Implementation Orchestrator,Strategist,Quality Assurance
6540,Ms. Marguerite Flatley,FullTime,Inactive,Ariellechester,Oregon,L1.3,Account2,Section2,Seat32,Robyn Lehner,Ruby Wunsch,Admin,Human Optimization Manager,Engineer,Quality Assurance
2573,Terry Hahn,FullTime,Active,Redwood City,Rhode Island,L1.3,Account6,Section6,Seat60,Jaime Purdy,Frances Daniel,Admin,Customer Directives Technician,Orchestrator,Quality Assurance
5557,Allen Carroll,Contract,Inactive,Tavaresfield,Nevada,L1.4,Account6,Section7,Seat100,Wilson O'Conner,Laurie Schumm,Admin,Central Integration Designer,Coordinator,Management
7812,Wilson Hilll,Contract,Active,Elliotboro,Montana,L1.2,Account1,Section3,Seat68,Marlene Kunze Jr.,Roxanne Crooks,Admin,Legacy Paradigm Director,Consultant,Product
1838,Alexander Schneider,Contract,Active,Davonstead,Rhode Island,L1.4,Account2,Section10,Seat41,Domingo Goodwin,Isabel Langworth,Admin,Legacy Marketing Executive,Assistant,Operations
6729,Damon Leffler,FullTime,Inactive,Runtefort,Michigan,L1.1,Account1,Section6,Seat41,Anthony Kiehn,Ethel Bauch,Admin,Investor Response Associate,Facilitator,Engineering
6105,Ms. Casey Greenfelder,Contract,Inactive,Altoona,Arkansas,L1.4,Account10,Section8,Seat54,Thomas O'Hara,Michele Kuhic,Admin,Human Metrics Engineer,Associate,Quality Assurance
7118,Beatrice Schneider I,FullTime,Active,Asheville,North Carolina,L1.4,Account2,Section3,Seat89,Tricia Rempel,Kelli Ullrich,Admin,Senior Brand Agent,Administrator,Operations
8598,Cesar Ondricka,FullTime,Inactive,New Priscilla,Oregon,L1.4,Account8,Section4,Seat35,Dr. Dominick Ward,Daniel Schaden,Admin,Future Metrics Agent,Representative,Product
7901,May Ortiz,Contract,Inactive,East Abigayle,Colorado,L1.1,Account9,Section6,Seat99,Dr. Randal Welch,Dr. Kelly Orn,Admin,Forward Brand Associate,Planner,Product
5315,Sarah Fadel,Contract,Inactive,Portland,Kentucky,L1.2,Account3,Section6,Seat79,Alicia Robel,Jenna Dickinson I,Admin,National Operations Liaison,Associate,Quality Assurance
9666,Maria Ferry,FullTime,Inactive,East Werner,Oregon,L1.4,Account4,Section6,Seat72,Bonnie Hahn,Bob Dietrich,Admin,Global Quality Manager,Consultant,Management
2989,Nicholas Beahan,FullTime,Active,Sipesshire,North Carolina,L1.1,Account7,Section5,Seat51,Kyle Towne,Trevor Effertz,Admin,Direct Marketing Coordinator,Officer,Operations
1238,Justin Schulist,Contract,Inactive,North Caroleburgh,Massachusetts,L1.3,Account10,Section10,Seat24,Mrs. Jamie Huel,Freda Olson,Admin,Lead Response Architect,Supervisor,Engineering
1641,Angel Franecki,PartTime,Inactive,Langville,Illinois,L1.6,Account2,Section5,Seat4,Adrienne Hegmann,Milton Thompson,Admin,Future Implementation Engineer,Director,Quality Assurance
2507,Elena Miller,Contract,Active,Hassieshire,Kansas,L1.2,Account8,Section7,Seat79,Dana Weber V,Dr. Brent Goldner,Admin,Direct Markets Facilitator,Specialist,Quality Assurance
5232,Roberta Raynor,Contract,Inactive,Shreveport,Connecticut,L1.1,Account2,Section6,Seat44,Dr. Charles Kreiger,Steve O'Conner,Admin,Lead Quality Engineer,Analyst,Management
6468,Neil Wehner,FullTime,Active,West Alvis,Colorado,L1.5,Account8,Section4,Seat46,Hubert Swaniawski,Roosevelt O'Reilly V,Admin,Central Implementation Representative,Supervisor,Engineering
1046,Scott Fahey,PartTime,Active,Rooseveltfield,Wyoming,L1.3,Account4,Section3,Seat84,Rodney Yundt,Dr. Mack King,Admin,Forward Directives Coordinator,Assistant,Quality Assurance
3739,Robin Fadel,Contract,Inactive,Schinnercester,Oklahoma,L1.3,Account9,Section9,Seat23,Shelly Hagenes Jr.,Josefina Bogan,Admin,Forward Group Analyst,Representative,Product
2114,Bill Russel MD,PartTime,Active,North Andreanne,Oregon,L1.5,Account2,Section3,Seat3,Christine Kshlerin III,Steve Klein-Rempel,Admin,Direct Response Administrator,Specialist,Quality Assurance
3951,Mattie Harvey III,Contract,Active,Fresno,Ohio,L1.4,Account7,Section10,Seat100,Susan Murray,Dr. Shannon Little,Admin,Global Group Producer,Assistant,Management
3342,Eunice Mitchell,PartTime,Inactive,Budchester,West Virginia,L1.3,Account7,Section9,Seat33,Shawn Muller,Violet Mosciski,Admin,Corporate Applications Director,Producer,Product
9278,Jimmie Little,FullTime,Active,Keeblermouth,Minnesota,L1.1,Account3,Section4,Seat36,Ms. Joyce Douglas-O'Hara,Harriet Smitham V,Admin,International Communications Representative,Executive,Management
9784,Joann Renner,Contract,Inactive,Lake Ursulaworth,Indiana,L1.4,Account8,Section9,Seat43,Cesar Toy,Claire Schumm,Admin,Legacy Web Associate,Architect,Operations
7480,Patricia Jakubowski,FullTime,Active,Wisozkport,New Mexico,L1.1,Account6,Section2,Seat92,Duane Jerde,Chris Padberg,Admin,Regional Integration Representative,Architect,Operations
7391,Dr. Sadie Braun,PartTime,Active,Lake Antoneport,New Hampshire,L1.5,Account4,Section7,Seat24,Alison Bauch,Irma Hyatt,Admin,Dynamic Tactics Architect,Architect,Engineering
4803,Maria Connelly,FullTime,Inactive,Bennettfield,Vermont,L1.1,Account5,Section7,Seat90,Dr. Derrick Kris Jr.,Kristina Wisozk,Admin,Product Accountability Administrator,Strategist,Product
4109,Marie Ryan,PartTime,Inactive,Dibbertfurt,North Dakota,L1.3,Account3,Section7,Seat39,Dr. Dave Herman,Clay Shields,Admin,District Web Orchestrator,Analyst,Management
9990,Boyd Roob V,FullTime,Inactive,South Eldoraside,Indiana,L1.1,Account5,Section1,Seat52,Ora Stanton,Mercedes Hoeger,Admin,Direct Intranet Planner,Agent,Product
3919,Ms. Stacey Auer,FullTime,Active,Conroyview,South Carolina,L1.3,Account5,Section10,Seat1,Jeff Brown,Brad Stokes,Admin,National Group Consultant,Facilitator,Operations
4008,Preston Daugherty II,FullTime,Inactive,West Raoul,Louisiana,L1.6,Account5,Section7,Seat16,Jeremy Thiel,Dr. Emanuel Smitham PhD,Admin,Forward Branding Director,Supervisor,Engineering
1686,Kim Fahey,FullTime,Active,Kadeview,Florida,L1.2,Account10,Section8,Seat37,Dr. Todd Sporer-Rohan,Cathy Schulist,Admin,Direct Solutions Planner,Associate,Quality Assurance
7024,Clarence Becker,PartTime,Active,Ashleystad,Arkansas,L1.6,Account9,Section1,Seat77,Jan Franecki,Everett Schuster,Admin,Internal Intranet Coordinator,Administrator,Management
9421,Sandra Kunde,FullTime,Active,Fort Camillemouth,California,L1.1,Account7,Section2,Seat3,Isaac Armstrong,Archie Monahan,Admin,Legacy Accounts Director,Associate,Engineering
4709,Kristi Runolfsson,FullTime,Inactive,Poinciana,Minnesota,L1.4,Account3,Section1,Seat90,Mr. Evan Walsh-Johnson DDS,Tonya Abernathy,Admin,Internal Marketing Associate,Assistant,Engineering
2321,Toby Schowalter V,Contract,Active,Herzogberg,North Carolina,L1.6,Account3,Section3,Seat56,Heidi Gulgowski,Lamar Bartoletti,Admin,National Solutions Executive,Supervisor,Operations
